iteration,max_L,min_L,c_exact_avg,g_exact_avg_0,c_avg,g_avg_0,c_pi_exact,g_pi_exact_0,c_pi,g_pi_0,lambda_0,c_br_exact,g_br_exact_0,c_br,g_br_0
0.0,2.0251556262373924,0.9549882933497429,0.0,0.0,-0.11517903953790665,0.17134448885917664,0.0,0.0,-0.11517903953790665,0.17134448885917664,15.0,0.0,0.0,-0.11517903953790665,0.17134448885917664
1.0,1.4033058136701582,1.398938687823905,-0.12709329141645007,0.0,-0.13018107414245605,0.15111622959375381,-0.25418658283290013,0.0,-0.14518311619758606,0.130887970328331,29.176234960741052,0.0,0.0,0.12346980720758438,0.15774457156658173
2.0,1.644442360848188,-6.276302852454,-0.08472886094430004,0.0,-0.051442522555589676,0.15652949611345926,0.0,0.0,0.10603457689285278,0.16735602915287018,29.82029412399816,-0.25418658283290013,0.0,-0.17127327620983124,-0.14751280844211578
3.0,-0.01162407360970974,2.0084485257641953,-0.06354664570822503,0.0,-0.01162407360970974,0.06883413344621658,0.0,0.0,0.10783127695322037,-0.19425195455551147,29.99377034741139,0.0,0.0,0.10184119641780853,0.1733378916978836
4.0,-0.04126467555761337,-5.905356248193799,-0.10167463313316005,0.0,-0.04126467555761337,0.02608633041381836,-0.25418658283290013,0.0,-0.1598270833492279,-0.14490488171577454,0.05878096407984044,0.0,0.0,0.1319952756166458,-0.1901203691959381
5.0,-0.05636768415570259,-3.8395060426681895,-0.12709329141645007,0.0,-0.05636768415570259,0.043146600325902305,-0.25418658283290013,0.0,-0.1318827122449875,0.12844794988632202,2.831695437056692e-07,0.0,0.0,0.09470895677804947,-0.12686687707901
6.0,-0.06985177844762802,0.2526129585582598,-0.14524947590451437,0.0,-0.06985177844762802,0.018962655748639787,-0.25418658283290013,0.0,-0.150756374001503,-0.1261410117149353,1.1743185222205873e-06,-0.25418658283290013,0.0,-0.16005529463291168,0.12776264548301697
7.0,-0.08277548849582672,1.1255938893194435,-0.1588666142705626,0.0,-0.08277548849582672,0.03333999589085579,-0.25418658283290013,0.0,-0.17324143648147583,0.1339813768863678,1.4427671717287962e-11,0.0,0.0,0.13447169959545135,0.17620420455932617
8.0,-0.09164971858263016,-3.0731468299987506,-0.1694577218886001,0.0,-0.09164971858263016,0.015267703268263075,-0.25418658283290013,0.0,-0.16264358162879944,-0.12931063771247864,7.890281094766968e-11,-0.25418658283290013,0.0,-0.1562349796295166,-0.1523059904575348
9.0,-0.09753050655126572,-2.589694064674283,-0.17793060798303012,0.0,-0.09753050655126572,-0.0012452885508537292,-0.25418658283290013,0.0,-0.15045765042304993,-0.14986221492290497,8.273232806134454e-16,-0.25418658283290013,0.0,-0.16994830965995789,-0.13255810737609863
10.0,-0.10456333309412003,0.19883003952897532,-0.18486296933301827,0.0,-0.10456333309412003,-0.013434820554473183,-0.25418658283290013,0.0,-0.17489156126976013,-0.13533014059066772,3.1044608440807887e-21,0.0,0.0,-0.12011947482824326,0.13371913135051727
11.0,-0.10897470265626907,0.1886744256264558,-0.19063993712467509,0.0,-0.10897470265626907,-0.02575361356139183,-0.25418658283290013,0.0,-0.15749980509281158,-0.16126033663749695,2.4091126737675955e-26,-0.25418658283290013,0.0,-0.15079805254936218,0.1391514241695404
12.0,-0.11268602311611176,0.651669600155406,-0.19552814064069238,0.0,-0.11268602311611176,-0.035223221549620994,-0.25418658283290013,0.0,-0.15722176432609558,-0.14885851740837097,5.11282567287806e-32,0.0,0.0,0.12767669558525085,0.1654682159423828
13.0,-0.11384247988462448,0.0782450003029182,-0.19971802936870722,0.0,-0.11384247988462448,-0.04200388810464314,-0.25418658283290013,0.0,-0.12887641787528992,-0.13015255331993103,2.017283521812836e-37,-0.25418658283290013,0.0,-0.14757376909255981,0.13038434088230133
14.0,-0.1149892508983612,-1.7117329024735077,-0.20334926626632005,0.0,-0.1149892508983612,-0.031111475825309754,-0.25418658283290013,0.0,-0.13104401528835297,0.12138229608535767,2.0279990436622292e-42,0.0,0.0,0.131398543715477,-0.16571086645126343
15.0,-0.1186516135931015,-1.626020775629552,-0.20652659855173136,0.0,-0.1186516135931015,-0.03895410988479853,-0.25418658283290013,0.0,-0.1735871434211731,-0.15659362077713013,5.907155533975844e-42,0.0,0.0,0.13726739585399628,-0.17114713788032532
16.0,-0.12069544941186905,-1.6748819620655861,-0.20933012703885892,0.0,-0.12069544941186905,-0.04378364235162735,-0.25418658283290013,0.0,-0.15339693427085876,-0.12105616182088852,1.5831378277492222e-47,-0.25418658283290013,0.0,-0.15163803100585938,-0.14887434244155884
